millet,state,district,year,month,modal_price
jowar,Maharashtra,Jalana,2023,7,3579.67
jowar,Maharashtra,Jalgaon,2023,7,3039.49
jowar,Maharashtra,Latur,2023,7,4403.35
jowar,Maharashtra,Mumbai,2023,7,4800.0
jowar,Maharashtra,Nanded,2023,7,2437.32
jowar,Maharashtra,Nandurbar,2023,7,2978.33
jowar,Maharashtra,Nashik,2023,7,3573.93
jowar,Maharashtra,Parbhani,2023,7,3292.1
jowar,Maharashtra,Pune,2023,7,5112.61
jowar,Maharashtra,Raigad,2023,7,3644.94
jowar,Maharashtra,Sangli,2023,7,4754.4
jowar,Maharashtra,Satara,2023,7,4086.11
jowar,Maharashtra,Sholapur,2023,7,4498.86
jowar,Maharashtra,Thane,2023,7,4004.43
jowar,Maharashtra,Vashim,2023,7,2757.91
jowar,Maharashtra,Yavatmal,2023,7,2561.03
jowar,Maharashtra,Ahmednagar,2023,10,4290.3
jowar,Maharashtra,Akola,2023,10,2858.01
jowar,Maharashtra,Amarawati,2023,10,2491.68
jowar,Maharashtra,Beed,2023,10,3848.62
jowar,Maharashtra,Buldhana,2023,10,2807.18
jowar,Maharashtra,Chattrapati Sambhajinagar,2023,10,3765.05
jowar,Maharashtra,Dharashiv(Usmanabad),2023,10,4582.17
jowar,Maharashtra,Dhule,2023,10,3163.79
jowar,Maharashtra,Hingoli,2023,10,2843.17
jowar,Maharashtra,Jalana,2023,10,3799.51
jowar,Maharashtra,Jalgaon,2023,10,3240.02
jowar,Maharashtra,Latur,2023,10,4024.46
jowar,Maharashtra,Mumbai,2023,10,5000.0
jowar,Maharashtra,Nanded,2023,10,2499.93
jowar,Maharashtra,Nandurbar,2023,10,2825.67
jowar,Maharashtra,Nashik,2023,10,3088.86
jowar,Maharashtra,Parbhani,2023,10,3645.71
jowar,Maharashtra,Pune,2023,10,5989.17
jowar,Maharashtra,Raigad,2023,10,4371.88
jowar,Maharashtra,Sangli,2023,10,3465.0
jowar,Maharashtra,Satara,2023,10,5375.0
jowar,Maharashtra,Sholapur,2023,10,4795.43
jowar,Maharashtra,Thane,2023,10,4250.0
jowar,Maharashtra,Vashim,2023,10,2671.33
jowar,Maharashtra,Yavatmal,2023,10,2642.97
jowar,Karnataka,Bangalore,2023,1,3447.92
jowar,Karnataka,Belgaum,2023,1,2439.75
jowar,Karnataka,Bellary,2023,1,2543.6
jowar,Karnataka,Bidar,2023,1,3717.62
jowar,Karnataka,Bijapur,2023,1,3738.57
jowar,Karnataka,Dharwad,2023,1,3629.94
jowar,Karnataka,Gadag,2023,1,3336.19
jowar,Karnataka,Haveri,2023,1,3033.33
jowar,Karnataka,Kalburgi,2023,1,3902.31
jowar,Karnataka,Mysore,2023,1,3645.21
jowar,Karnataka,Raichur,2023,1,2698.14
jowar,Karnataka,Shimoga,2023,1,3514.71
jowar,Karnataka,Bangalore,2023,4,3243.78
jowar,Karnataka,Belgaum,2023,4,3835.09
jowar,Karnataka,Bellary,2023,4,2470.11
jowar,Karnataka,Bidar,2023,4,4012.71
jowar,Karnataka,Bijapur,2023,4,3725.0
jowar,Karnataka,Chikmagalur,2023,4,2500.0
jowar,Karnataka,Davangere,2023,4,2438.45
jowar,Karnataka,Dharwad,2023,4,2964.37
jowar,Karnataka,Gadag,2023,4,3284.62
jowar,Karnataka,Haveri,2023,4,2424.99
jowar,Karnataka,Kalburgi,2023,4,4114.56
jowar,Karnataka,Koppal,2023,4,2900.0
jowar,Karnataka,Mysore,2023,4,4052.42
jowar,Karnataka,Raichur,2023,4,2828.31
jowar,Karnataka,Shimoga,2023,4,3796.88
jowar,Karnataka,Bangalore,2023,10,3500.0
jowar,Karnataka,Belgaum,2023,10,4351.58
jowar,Karnataka,Bellary,2023,10,2776.64
jowar,Karnataka,Bidar,2023,10,4488.4
jowar,Karnataka,Bijapur,2023,10,5054.35
jowar,Karnataka,Chikmagalur,2023,10,3133.5
jowar,Karnataka,Davangere,2023,10,2730.71
jowar,Karnataka,Dharwad,2023,10,3987.35
jowar,Karnataka,Gadag,2023,10,4411.0
jowar,Karnataka,Haveri,2023,10,3514.29
jowar,Karnataka,Kalburgi,2023,10,4922.07
jowar,Karnataka,Koppal,2023,10,2141.0
jowar,Karnataka,Mysore,2023,10,3225.0
jowar,Karnataka,Raichur,2023,10,1900.0
jowar,Karnataka,Shimoga,2023,10,4640.0
jowar,Karnataka,Bagalkot,2023,7,4000.0
jowar,Karnataka,Bangalore,2023,7,4000.0
jowar,Karnataka,Belgaum,2023,7,4476.56
jowar,Karnataka,Bellary,2023,7,3089.2
jowar,Karnataka,Bidar,2023,7,3928.25
jowar,Karnataka,Bijapur,2023,7,2645.24
jowar,Karnataka,Chamrajnagar,2023,7,3400.0
jowar,Karnataka,Chikmagalur,2023,7,2813.0
jowar,Karnataka,Dharwad,2023,7,4888.27
jowar,Karnataka,Gadag,2023,7,4146.32
jowar,Karnataka,Haveri,2023,7,3479.07
jowar,Karnataka,Kalburgi,2023,7,4712.4
jowar,Karnataka,Koppal,2023,7,2912.9
jowar,Karnataka,Mysore,2023,7,3800.0
jowar,Karnataka,Raichur,2023,7,2700.0
jowar,Karnataka,Shimoga,2023,7,3700.0
jowar,Maharashtra,Ahmednagar,2024,1,4000.31
jowar,Maharashtra,Akola,2024,1,2556.14
jowar,Maharashtra,Amarawati,2024,1,2475.0
